"","id","realtime_start","realtime_end","title","observation_start","observation_end","frequency","frequency_short","units","units_short","seasonal_adjustment","seasonal_adjustment_short","last_updated","popularity","group_popularity","notes"
"1","CPIAUCSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: All Items in U.S. City Average","1947-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:01-06",94,94,"The Consumer Price Index for All Urban Consumers: All Items (CPIAUCSL) is a price index of a basket of goods and services paid by urban consumers. Percent changes in the price index measure the inflation rate between any two time periods. The most common inflation metric is the percent change from one year ago. It can also represent the buying habits of urban consumers. This particular index includes roughly 88 percent of the total population, accounting for wage earners, clerical workers, technical workers, self-employed, short-term workers, unemployed, retirees, and those not in the labor force.

The CPIs are based on prices for food, clothing, shelter, and fuels; transportation fares; service fees (e.g., water and sewer service); and sales taxes. Prices are collected monthly from about 4,000 housing units and approximately 26,000 retail establishments across 87 urban areas. To calculate the index, price changes are averaged with weights representing their importance in the spending of the particular group. The index measures price changes (as a percent change) from a predetermined reference date. In addition to the original unadjusted index distributed, the Bureau of Labor Statistics also releases a seasonally adjusted index. The unadjusted series reflects all factors that may influence a change in prices. However, it can be very useful to look at the seasonally adjusted CPI, which removes the effects of seasonal changes, such as weather, school year, production cycles, and holidays.

The CPI can be used to recognize periods of inflation and deflation. Significant increases in the CPI within a short time frame might indicate a period of inflation, and significant decreases in CPI within a short time frame might indicate a period of deflation. However, because the CPI includes volatile food and oil prices, it might not be a reliable measure of inflationary and deflationary periods. For a more accurate detection, the core CPI (CPILFESL (https://fred.stlouisfed.org/series/CPILFESL)) is often used. When using the CPI, please note that it is not applicable to all consumers and should not be used to determine relative living costs. Additionally, the CPI is a statistical measure vulnerable to sampling error since it is based on a sample of prices and not the complete average.

For more information on the consumer price indexes, see:  
Bureau of Economic Analysis. ""CPI Detailed Report."" (https://www.bls.gov/cpi/) 2013.  
Handbook of Methods (https://www.bls.gov/opub/hom/pdf/cpihom.pdf)  
Understanding the CPI: Frequently Asked Questions (https://www.bls.gov/cpi/questions-and-answers.htm)"
"2","CORESTICKM159SFRBATL","2023-12-17","2023-12-17","Sticky Price Consumer Price Index less Food and Energy","1967-12-01","2023-11-01","Monthly","M","Percent Change from Year Ago","% Chg. from Yr. Ago","Seasonally Adjusted","SA","2023-12-12 12:01:01-06",84,85,"The Sticky Price Consumer Price Index (CPI) is calculated from a subset of goods and services included in the CPI that change price relatively infrequently. Because these goods and services change price relatively infrequently, they are thought to incorporate expectations about future inflation to a greater degree than prices that change on a more frequent basis. One possible explanation for sticky prices could be the costs firms incur when changing price.

To obtain more information about this release see: Michael F. Bryan, and Brent H. Meyer. “Are Some Prices in the CPI More Forward Looking Than Others? We Think So.” Economic Commentary (Federal Reserve Bank of Cleveland) (May 19, 2010): 1–6. https://doi.org/10.26509/frbc-ec-201002 (https://doi.org/10.26509/frbc-ec-201002)."
"3","CPILFESL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average","1957-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:02-06",82,82,"The ""Consumer Price Index for All Urban Consumers: All Items Less Food & Energy"" is an aggregate of prices paid by urban consumers for a typical basket of goods, excluding food and energy. This measurement, known as ""Core CPI,"" is widely used by economists because food and energy have very volatile prices. The Bureau of Labor Statistics defines and measures the official CPI, and more information can be found in the FAQ (https://www.bls.gov/cpi/questions-and-answers.htm) or in this article (https://www.bls.gov/opub/hom/pdf/cpihom.pdf)."
"4","CUSR0000SETA02","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Used Cars and Trucks in U.S. City Average","1953-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:02-06",80,80,NA
"5","PCEPI","2023-12-17","2023-12-17","Personal Consumption Expenditures: Chain-type Price Index","1959-01-01","2023-10-01","Monthly","M","Index 2017=100","Index 2017=100","Seasonally Adjusted","SA","2023-11-30 07:44:07-06",78,78,"BEA Account Code: DPCERG

The Personal Consumption Expenditures Price Index is a measure of the prices that people living in the United States, or those buying on their behalf, pay for goods and services. The change in the PCE price index is known for capturing inflation (or deflation) across a wide range of consumer expenses and reflecting changes in consumer behavior. For example, if the price of beef rises, shoppers may buy less beef and more chicken. 

The PCE Price Index is produced by the Bureau of Economic Analysis (BEA), which revises previously published PCE data to reflect updated information or new methodology, providing consistency across decades of data that's valuable for researchers. They also offer the series as a Chain-Type index, as above. The PCE price index is used primarily for macroeconomic analysis and forecasting.

The PCE Price index is the Federal Reserve’s preferred measure of inflation. The PCE Price Index is similar to the Bureau of Labor Statistics' consumer price index for urban consumers. The two indexes, which have their own purposes and uses, are constructed differently, resulting in different inflation rates. 

For more information on the PCE price index, see:
U.S. Bureau of Economic Analysis, Guide to the National Income and Product Accounts of the United States (NIPA) (https://www.bea.gov/national/pdf/nipaguid.pdf) 
U.S. Bureau of Economic Analysis, Personal Consumption Expenditures Price Index (https://www.bea.gov/data/personal-consumption-expenditures-price-index)
U.S. Bureau of Economic Analysis, Prices & Inflation (https://www.bea.gov/resources/learning-center/what-to-know-prices-inflation)
U.S. Bureau of Labor Statistics, Differences between the Consumer Price Index and the Personal Consumption Expenditure Price Index (https://www.bls.gov/opub/btn/archive/differences-between-the-consumer-price-index-and-the-personal-consumption-expenditures-price-index.pdf)"
"6","PCEPILFE","2023-12-17","2023-12-17","Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index)","1959-01-01","2023-10-01","Monthly","M","Index 2017=100","Index 2017=100","Seasonally Adjusted","SA","2023-11-30 07:44:08-06",76,77,"BEA Account Code: DPCCRG

The Personal Consumption Expenditures Price Index is a measure of the prices that people living in the United States, or those buying on their behalf, pay for goods and services. The change in the PCE price index is known for capturing inflation (or deflation) across a wide range of consumer expenses and reflecting changes in consumer behavior. For example, if car prices rise, car sales may decline while bicycle sales increase. 

The PCE Price Index is produced by the Bureau of Economic Analysis (BEA), which revises previously published PCE data to reflect updated information or new methodology, providing consistency across decades of data that's valuable for researchers. They also offer the series as a Chain-Type index and excluding food and energy products, as above. The PCE price index less food excluding food and energy is used primarily for macroeconomic analysis and forecasting future values of the PCE price index.

The PCE Price Index is similar to the Bureau of Labor Statistics' consumer price index for urban consumers. The two indexes, which have their own purposes and uses, are constructed differently, resulting in different inflation rates.

For more information on the PCE price index, see:
U.S. Bureau of Economic Analysis, Guide to the National Income and Product Accounts of the United States (NIPA) (https://www.bea.gov/national/pdf/nipaguid.pdf) 
U.S. Bureau of Economic Analysis, Personal Consumption Expenditures Price Index (https://www.bea.gov/data/personal-consumption-expenditures-price-index)
U.S. Bureau of Economic Analysis, Prices & Inflation (https://www.bea.gov/resources/learning-center/what-to-know-prices-inflation)
U.S. Bureau of Labor Statistics, Differences between the Consumer Price Index and the Personal Consumption Expenditure Price Index (https://www.bls.gov/opub/btn/archive/differences-between-the-consumer-price-index-and-the-personal-consumption-expenditures-price-index.pdf)"
"7","APU0000708111","2023-12-17","2023-12-17","Average Price: Eggs, Grade A, Large (Cost per Dozen) in U.S. City Average","1980-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:02-06",76,76,"Large white, Grade A chicken eggs, sold in a carton of a dozen. Includes organic, non-organic, cage free, free range, and traditional.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"8","CUUR0000SEHA","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Rent of Primary Residence in U.S. City Average","1914-12-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:02-06",74,76,NA
"9","CPALTT01USM657N","2023-12-17","2023-12-17","Consumer Price Index: All Items: Total for United States","1960-01-01","2023-10-01","Monthly","M","Growth rate previous period","Growth rate previous period","Not Seasonally Adjusted","NSA","2023-12-12 14:48:02-06",73,82,"OECD Descriptor ID: CPALTT01
OECD unit ID: PC
OECD country ID: USA

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
"10","CPIAUCNS","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: All Items in U.S. City Average","1913-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:02-06",73,94,"Handbook of Methods (https://www.bls.gov/opub/hom/pdf/cpihom.pdf)
Understanding the CPI: Frequently Asked Questions (https://www.bls.gov/cpi/questions-and-answers.htm)"
